major,year,semester,class name
"• 
Computer Science, B.S.",1,Fall,CPSC 230 - Computer Science I
"• 
Computer Science, B.S.",1,Fall,CPSC 298 - Computer Science Colloquium
"• 
Computer Science, B.S.",1,Fall,MATH 110 - Single Variable Calculus I
"• 
Computer Science, B.S.",1,Fall,MATH 115 - Accelerated Calculus Part I: Differentiation and Integration
"• 
Computer Science, B.S.",1,Spring,CPSC 231 - Computer Science II
"• 
Computer Science, B.S.",1,Spring,GCI 150 - Grand Challenges in Science and Engineering I
"• 
Computer Science, B.S.",1,Spring,MATH 111 - Single Variable Calculus II
"• 
Computer Science, B.S.",1,Spring,"MATH 116 - Accelerated Calculus Part II: Series, Differential Equations and Multivariable Calculus"
"• 
Computer Science, B.S.",2,Fall,CPSC 298 - Computer Science Colloquium
"• 
Computer Science, B.S.",2,Fall,MATH 210 - Multivariable Calculus
"• 
Computer Science, B.S.",2,Fall,GCI 200 - Grand Challenges in Science and Engineering II
"• 
Computer Science, B.S.",2,Spring,MATH 250 - Discrete Mathematics I
"• 
Computer Science, B.S.",2,Spring,GCI 250 - Grand Challenges in Science and Engineering III
"• 
Computer Science, B.S.",3,Fall,CPSC 298 - Computer Science Colloquium
"• 
Computer Science, B.S.",3,Fall,MATH 215 - Introduction to Linear Algebra and Differential Equations
"• 
Computer Science, B.S.",4,Fall,CPSC 354 - Programming Languages
"• 
Computer Science, B.S.",4,Spring,CPSC 298 - Computer Science Colloquium
"• 
Data Science, B.S.",1,Fall,FFC 100B - First Year Foundations: Grand Challenges in Science and Engineering
"• 
Data Science, B.S.",1,Fall,ENGR 101 - Foundations of Design and Fabrication
"• 
Data Science, B.S.",1,Fall,CPSC 230 - Computer Science I
"• 
Data Science, B.S.",1,Fall,CPSC 298 - Computer Science Colloquium
"• 
Data Science, B.S.",1,Fall,MATH 110 - Single Variable Calculus I
"• 
Data Science, B.S.",1,Spring,CPSC 231 - Computer Science II
"• 
Data Science, B.S.",1,Spring,GCI 150 - Grand Challenges in Science and Engineering I
"• 
Data Science, B.S.",1,Spring,MATH 203 - Introduction to Statistics
"• 
Data Science, B.S.",2,Fall,ECON 200 - Principles of Microeconomics
"• 
Data Science, B.S.",2,Fall,CPSC 298 - Computer Science Colloquium
"• 
Data Science, B.S.",2,Fall,MGSC 220 - Foundations of Business Analytics
"• 
Data Science, B.S.",2,Fall,GCI 200 - Grand Challenges in Science and Engineering II
"• 
Data Science, B.S.",2,Spring,CPSC 293 - Mathematical Foundations of Machine Learning
"• 
Data Science, B.S.",2,Spring,GCI 250 - Grand Challenges in Science and Engineering III
"• 
Data Science, B.S.",3,Fall,CPSC 298 - Computer Science Colloquium
"• 
Data Science, B.S.",3,Fall,CPSC 285 - Social and Ethical Issues in Computing
"• 
Data Science, B.S.",4,Spring,CPSC 298 - Computer Science Colloquium
"• 
Electrical Engineering, B.S.",1,Fall,FFC 100B - First Year Foundations: Grand Challenges in Science and Engineering
"• 
Electrical Engineering, B.S.",1,Fall,ENGR 101 - Foundations of Design and Fabrication
"• 
Electrical Engineering, B.S.",1,Fall,CPSC 230 - Computer Science I
"• 
Electrical Engineering, B.S.",1,Fall,MATH 110 - Single Variable Calculus I
"• 
Electrical Engineering, B.S.",1,Fall,MATH 115 - Accelerated Calculus Part I: Differentiation and Integration
"• 
Electrical Engineering, B.S.",1,Spring,CENG 231 - Systems Programming
"• 
Electrical Engineering, B.S.",1,Spring,CENG 231L - Lab
"• 
Electrical Engineering, B.S.",1,Spring,GCI 150 - Grand Challenges in Science and Engineering I
"• 
Electrical Engineering, B.S.",1,Spring,MATH 111 - Single Variable Calculus II
"• 
Electrical Engineering, B.S.",1,Spring,"MATH 116 - Accelerated Calculus Part II: Series, Differential Equations and Multivariable Calculus"
"• 
Electrical Engineering, B.S.",2,Fall,EENG 200 - Electronics and Circuits I
"• 
Electrical Engineering, B.S.",2,Fall,EENG 200L - Lab
"• 
Electrical Engineering, B.S.",2,Fall,EENG 201 - Digital Signals and Filters
"• 
Electrical Engineering, B.S.",2,Fall,MATH 210 - Multivariable Calculus
"• 
Electrical Engineering, B.S.",2,Fall,GCI 200 - Grand Challenges in Science and Engineering II
"• 
Electrical Engineering, B.S.",2,Spring,GCI 250 - Grand Challenges in Science and Engineering III
"• 
Electrical Engineering, B.S.",2,Spring,PHYS 101 - General Physics I
"• 
Electrical Engineering, B.S.",2,Spring,PHYS 101L - General Physics I Laboratory
"• 
Electrical Engineering, B.S.",3,Fall,EENG 398 - Topics in Advanced Engineering Applications
"• 
Electrical Engineering, B.S.",3,Fall,EENG 300 - Electronics and Circuits II
"• 
Electrical Engineering, B.S.",3,Fall,EENG 300L - Lab
"• 
Electrical Engineering, B.S.",3,Fall,MATH 215 - Introduction to Linear Algebra and Differential Equations
"• 
Electrical Engineering, B.S.",3,Fall,PHYS 102 - General Physics II
"• 
Electrical Engineering, B.S.",3,Fall,PHYS 102L - General Physics II Laboratory
"• 
Electrical Engineering, B.S.",3,Spring,PHYS 201 - General Physics III
"• 
Electrical Engineering, B.S.",4,Spring,EENG 398 - Topics in Advanced Engineering Applications
"• 
Software Engineering, B.S.",1,Fall,FFC 100B - First Year Foundations: Grand Challenges in Science and Engineering
"• 
Software Engineering, B.S.",1,Fall,ENGR 101 - Foundations of Design and Fabrication
"• 
Software Engineering, B.S.",1,Fall,CPSC 230 - Computer Science I
"• 
Software Engineering, B.S.",1,Fall,CPSC 298 - Computer Science Colloquium
"• 
Software Engineering, B.S.",1,Fall,MATH 110 - Single Variable Calculus I
"• 
Software Engineering, B.S.",1,Fall,MATH 115 - Accelerated Calculus Part I: Differentiation and Integration
"• 
Software Engineering, B.S.",1,Spring,CPSC 231 - Computer Science II
"• 
Software Engineering, B.S.",1,Spring,GCI 150 - Grand Challenges in Science and Engineering I
"• 
Software Engineering, B.S.",1,Spring,MATH 111 - Single Variable Calculus II
"• 
Software Engineering, B.S.",1,Spring,"MATH 116 - Accelerated Calculus Part II: Series, Differential Equations and Multivariable Calculus"
"• 
Software Engineering, B.S.",2,Fall,CPSC 298 - Computer Science Colloquium
"• 
Software Engineering, B.S.",2,Fall,MATH 210 - Multivariable Calculus
"• 
Software Engineering, B.S.",2,Fall,MATH 203 - Introduction to Statistics
"• 
Software Engineering, B.S.",2,Fall,GCI 200 - Grand Challenges in Science and Engineering II
"• 
Software Engineering, B.S.",2,Spring,MATH 250 - Discrete Mathematics I
"• 
Software Engineering, B.S.",2,Spring,GCI 250 - Grand Challenges in Science and Engineering III
"• 
Software Engineering, B.S.",3,Fall,SE 300 - Software Requirements and Testing
"• 
Software Engineering, B.S.",3,Fall,SE 310 - Software Design
"• 
Software Engineering, B.S.",3,Fall,MATH 215 - Introduction to Linear Algebra and Differential Equations
"• 
Software Engineering, B.S.",3,Spring,SE 320 - The Software Development Lifecycle
"• 
Software Engineering, B.S.",4,Fall,CPSC 354 - Programming Languages
"• 
Software Engineering, B.S.",4,Spring,CPSC 285 - Social and Ethical Issues in Computing
"• 
Software Engineering, B.S.",4,Spring,SE 498 - Software Engineering Capstone Project
"• 
Philosophy, B.A.",1,Fall,PHIL 101 - Introduction to Philosophy
"• 
Philosophy, B.A.",1,Spring,PHIL 104 - Introduction to Ethics
"• 
Philosophy, B.A.",2,Fall,PHIL 203 - Logic
"• 
Philosophy, B.A.",2,Fall,PHIL 300 - Symbolic Logic
"• 
Philosophy, B.A.",2,Fall,PHIL 310 - From Socrates to Aquinas
"• 
Philosophy, B.A.",2,Spring,PHIL 311 - Descartes to Kierkegaard
"• 
Philosophy, B.A.",3,Spring,PHIL 398 - Junior/Senior Seminar
"• 
Biochemistry and Molecular Biology, B.S.",1,Fall,CHEM 140 - General Chemistry I
"• 
Biochemistry and Molecular Biology, B.S.",1,Fall,CHEM 140L - General Chemistry I Laboratory
"• 
Biochemistry and Molecular Biology, B.S.",1,Fall,FFC 100B - First Year Foundations: Grand Challenges in Science and Engineering
"• 
Biochemistry and Molecular Biology, B.S.",1,Fall,BIOL 204 - From Molecules to Cells: Evolution of Life on Earth (Gen Biol I)
"• 
Biochemistry and Molecular Biology, B.S.",1,Fall,MATH 115 - Accelerated Calculus Part I: Differentiation and Integration
"• 
Biochemistry and Molecular Biology, B.S.",1,Fall,MATH 110 - Single Variable Calculus I
"• 
Biochemistry and Molecular Biology, B.S.",1,Spring,CHEM 150 - General Chemistry II
"• 
Biochemistry and Molecular Biology, B.S.",1,Spring,CHEM 150L - General Chemistry II Laboratory
"• 
Biochemistry and Molecular Biology, B.S.",1,Spring,BCHM 100 - Introduction to the Chemistry and Biochemistry Majors and Career Paths
"• 
Biochemistry and Molecular Biology, B.S.",1,Spring,GCI 150 - Grand Challenges in Science and Engineering I
"• 
Biochemistry and Molecular Biology, B.S.",1,Spring,"BIOL 208 - Introduction to Molecular Genetics, Lecture and Laboratory"
"• 
Biochemistry and Molecular Biology, B.S.",1,Spring,"MATH 116 - Accelerated Calculus Part II: Series, Differential Equations and Multivariable Calculus"
"• 
Biochemistry and Molecular Biology, B.S.",1,Spring,MATH 111 - Single Variable Calculus II
"• 
Biochemistry and Molecular Biology, B.S.",2,Fall,CHEM 230 - Organic Chemistry I
"• 
Biochemistry and Molecular Biology, B.S.",2,Fall,CHEM 230L - Organic Chemistry I Laboratory
"• 
Biochemistry and Molecular Biology, B.S.",2,Fall,"PHYS 107 - General Physics for the Life Sciences I, Lecture and Laboratory"
"• 
Biochemistry and Molecular Biology, B.S.",2,Fall,GCI 200 - Grand Challenges in Science and Engineering II
"• 
Biochemistry and Molecular Biology, B.S.",2,Spring,CHEM 331 - Organic Chemistry II
"• 
Biochemistry and Molecular Biology, B.S.",2,Spring,CHEM 331L - Organic Chemistry II Laboratory
"• 
Biochemistry and Molecular Biology, B.S.",2,Spring,"PHYS 108 - General Physics for the Life Sciences II, Lecture and Laboratory"
"• 
Biochemistry and Molecular Biology, B.S.",2,Spring,GCI 250 - Grand Challenges in Science and Engineering III
"• 
Biochemistry and Molecular Biology, B.S.",2,Spring,MATH 303 - Biostatistics
"• 
Biochemistry and Molecular Biology, B.S.",3,Fall,"BCHM 335 - Biochemistry I-Biomolecules, Lecture and Laboratory"
"• 
Biochemistry and Molecular Biology, B.S.",3,Spring,BCHM 336 - Biochemistry II-Biometabolism
"• 
Biochemistry and Molecular Biology, B.S.",4,Fall,"BCHM 420 - Physical Biochemistry, Lecture and Laboratory"
"• 
Biochemistry and Molecular Biology, B.S.",4,Spring,"BCHM 436 - Molecular Genetics, Lecture and Laboratory"
"• 
Biochemistry and Molecular Biology, B.S.",4,Spring,BCHM 498 - Capstone Course
"• 
Biological Sciences, B.S.",1,Fall,FFC 100B - First Year Foundations: Grand Challenges in Science and Engineering
"• 
Biological Sciences, B.S.",1,Fall,MATH 110 - Single Variable Calculus I
"• 
Biological Sciences, B.S.",1,Fall,CHEM 140 - General Chemistry I
"• 
Biological Sciences, B.S.",1,Fall,CHEM 140L - General Chemistry I Laboratory
"• 
Biological Sciences, B.S.",1,Fall,BIOL 204 - From Molecules to Cells: Evolution of Life on Earth (Gen Biol I)
"• 
Biological Sciences, B.S.",1,Fall,"BIOL 204L - From Molecules to Cells: Evolution of Life on Earth (Gen Biol I), Lab"
"• 
Biological Sciences, B.S.",1,Spring,BIOL 101 - Introduction to the Biological Sciences Major
"• 
Biological Sciences, B.S.",1,Spring,MATH 111 - Single Variable Calculus II
"• 
Biological Sciences, B.S.",1,Spring,CHEM 150 - General Chemistry II
"• 
Biological Sciences, B.S.",1,Spring,CHEM 150L - General Chemistry II Laboratory
"• 
Biological Sciences, B.S.",1,Spring,GCI 150 - Grand Challenges in Science and Engineering I
"• 
Biological Sciences, B.S.",1,Spring,BIOL 205 - Evolution and Diversity of Multicellular Organisms (Gen Biol II)
"• 
Biological Sciences, B.S.",2,Fall,GCI 200 - Grand Challenges in Science and Engineering II
"• 
Biological Sciences, B.S.",2,Fall,CHEM 230 - Organic Chemistry I
"• 
Biological Sciences, B.S.",2,Fall,CHEM 230L - Organic Chemistry I Laboratory
"• 
Biological Sciences, B.S.",2,Fall,CPSC 292 - Introduction to Exploratory Data Analysis
"• 
Biological Sciences, B.S.",2,Spring,GCI 250 - Grand Challenges in Science and Engineering III
"• 
Biological Sciences, B.S.",2,Spring,MATH 303 - Biostatistics
"• 
Biological Sciences, B.S.",3,Fall,"PHYS 107 - General Physics for the Life Sciences I, Lecture and Laboratory"
"• 
Biological Sciences, B.S.",3,Spring,"PHYS 108 - General Physics for the Life Sciences II, Lecture and Laboratory"
"• 
Biological Sciences, B.S.",4,Fall,BIOL 498 - Capstone Course for Biological Sciences Majors
"• 
Biological Sciences, B.S.",4,Spring,BIOL 494 - Senior Research: Data Analysis and Presentation
"• 
Biological Sciences, B.S.",4,Spring,BIOL 498
"• 
Chemistry, B.S.",1,Fall,FFC 100B - First Year Foundations: Grand Challenges in Science and Engineering
"• 
Chemistry, B.S.",1,Fall,MATH 115 - Accelerated Calculus Part I: Differentiation and Integration
"• 
Chemistry, B.S.",1,Fall,CHEM 140 - General Chemistry I
"• 
Chemistry, B.S.",1,Fall,CHEM 140L - General Chemistry I Laboratory
"• 
Chemistry, B.S.",1,Spring,CHEM 100 - Introduction to the Chemistry and Biochemistry Majors and Career Paths
"• 
Chemistry, B.S.",1,Spring,"MATH 116 - Accelerated Calculus Part II: Series, Differential Equations and Multivariable Calculus"
"• 
Chemistry, B.S.",1,Spring,CHEM 150 - General Chemistry II
"• 
Chemistry, B.S.",1,Spring,CHEM 150L - General Chemistry II Laboratory
"• 
Chemistry, B.S.",1,Spring,GCI 150 - Grand Challenges in Science and Engineering I
"• 
Chemistry, B.S.",2,Fall,GCI 200 - Grand Challenges in Science and Engineering II
"• 
Chemistry, B.S.",2,Fall,CHEM 230 - Organic Chemistry I
"• 
Chemistry, B.S.",2,Fall,CHEM 230L - Organic Chemistry I Laboratory
"• 
Chemistry, B.S.",2,Fall,MATH 210 - Multivariable Calculus
"• 
Chemistry, B.S.",2,Spring,PHYS 101 - General Physics I
"• 
Chemistry, B.S.",2,Spring,PHYS 101L - General Physics I Laboratory
"• 
Chemistry, B.S.",2,Spring,GCI 250 - Grand Challenges in Science and Engineering III
"• 
Chemistry, B.S.",2,Spring,CHEM 331 - Organic Chemistry II
"• 
Chemistry, B.S.",2,Spring,CHEM 331L - Organic Chemistry II Laboratory
"• 
Chemistry, B.S.",2,Spring,CHEM 220 - Scientific Computing I
"• 
Chemistry, B.S.",3,Fall,PHYS 102 - General Physics II
"• 
Chemistry, B.S.",3,Fall,PHYS 102L - General Physics II Laboratory
"• 
Chemistry, B.S.",3,Fall,"CHEM 310 - Analytical Chemistry I, Lecture and Laboratory"
"• 
Chemistry, B.S.",3,Spring,"CHEM 301 - Inorganic Chemistry, Lecture and Laboratory"
"• 
Chemistry, B.S.",3,Spring,"CHEM 411 - Analytical Chemistry II, Lecture and Laboratory"
"• 
Chemistry, B.S.",4,Fall,"BCHM 335 - Biochemistry I-Biomolecules, Lecture and Laboratory"
"• 
Chemistry, B.S.",4,Fall,"CHEM 340 - Physical Chemistry-Quantum Chemistry, Lecture and Laboratory"
"• 
Chemistry, B.S.",4,Spring,"CHEM 441 - Physical Chemistry-Thermodynamics and Kinetics, Lecture and Laboratory"
"• 
Environmental Science and Policy, B.S.",1,Fall,FFC 100B - First Year Foundations: Grand Challenges in Science and Engineering
"• 
Environmental Science and Policy, B.S.",1,Fall,ENV 101 - Introduction to Environmental Science
"• 
Environmental Science and Policy, B.S.",1,Fall,CHEM 140 - General Chemistry I
"• 
Environmental Science and Policy, B.S.",1,Fall,CHEM 140L - General Chemistry I Laboratory
"• 
Environmental Science and Policy, B.S.",1,Spring,ENV 102 - Introduction to Environmental Policy
"• 
Environmental Science and Policy, B.S.",1,Spring,CHEM 150 - General Chemistry II
"• 
Environmental Science and Policy, B.S.",1,Spring,CHEM 150L - General Chemistry II Laboratory
"• 
Environmental Science and Policy, B.S.",1,Spring,"BIOL 205L - Evolution and Diversity of Multicellular Organisms (Gen Biol II), Lab"
"• 
Environmental Science and Policy, B.S.",1,Spring,BIOL 205 - Evolution and Diversity of Multicellular Organisms (Gen Biol II)
"• 
Environmental Science and Policy, B.S.",1,Spring,GCI 150 - Grand Challenges in Science and Engineering I
"• 
Environmental Science and Policy, B.S.",2,Fall,MATH 110 - Single Variable Calculus I
"• 
Environmental Science and Policy, B.S.",2,Fall,ENV 111 - Physical Geology
"• 
Environmental Science and Policy, B.S.",2,Fall,ENV 111L - Physical Geology Laboratory
"• 
Environmental Science and Policy, B.S.",2,Fall,GCI 200 - Grand Challenges in Science and Engineering II
"• 
Environmental Science and Policy, B.S.",2,Fall,ECON 200 - Principles of Microeconomics
"• 
Environmental Science and Policy, B.S.",2,Fall,ENV 201 - Introduction to Environmental Justice
"• 
Environmental Science and Policy, B.S.",2,Spring,ENV 112 - Introduction to Hazards and Global and Environmental Change
"• 
Environmental Science and Policy, B.S.",2,Spring,ENV 205 - Seminar Series
"• 
Environmental Science and Policy, B.S.",2,Spring,GCI 250 - Grand Challenges in Science and Engineering III
"• 
Environmental Science and Policy, B.S.",2,Spring,MATH 303 - Biostatistics
"• 
Environmental Science and Policy, B.S.",2,Spring,"ENV 310 - Geographic Information Systems, Lecture and Laboratory"
"• 
Environmental Science and Policy, B.S.",2,Spring,ENV 375 - Public Policy Process
"• 
Environmental Science and Policy, B.S.",3,Fall,"PHYS 107 - General Physics for the Life Sciences I, Lecture and Laboratory"
"• 
Environmental Science and Policy, B.S.",3,Fall,ENV 374 - Environmental Politics and Policy
"• 
Environmental Science and Policy, B.S.",3,Spring,"ENV 310 - Geographic Information Systems, Lecture and Laboratory"
"• 
Environmental Science and Policy, B.S.",3,Spring,ENV 375 - Public Policy Process
"• 
Environmental Science and Policy, B.S.",4,Fall,ENV 330 - Environmental Problem Solving: Energy and Matter Flow
"• 
Environmental Science and Policy, B.S.",4,Spring,ENV 498 - Environmental Problem Solving: Senior Capstone and Seminar
"• 
Mathematics, B.S.",1,Fall,FFC 100B - First Year Foundations: Grand Challenges in Science and Engineering
"• 
Mathematics, B.S.",1,Fall,MATH 115 - Accelerated Calculus Part I: Differentiation and Integration
"• 
Mathematics, B.S.",1,Fall,CPSC 230 - Computer Science I
"• 
Mathematics, B.S.",1,Spring,"MATH 116 - Accelerated Calculus Part II: Series, Differential Equations and Multivariable Calculus"
"• 
Mathematics, B.S.",1,Spring,GCI 150 - Grand Challenges in Science and Engineering I
"• 
Mathematics, B.S.",1,Spring,MATH 250 - Discrete Mathematics I
"• 
Mathematics, B.S.",2,Fall,MATH 215 - Introduction to Linear Algebra and Differential Equations
"• 
Mathematics, B.S.",2,Fall,GCI 200 - Grand Challenges in Science and Engineering II
"• 
Mathematics, B.S.",2,Fall,MATH 220 - Scientific Computing I
"• 
Mathematics, B.S.",2,Spring,GCI 250 - Grand Challenges in Science and Engineering III
"• 
Mathematics, B.S.",2,Spring,MATH 315 - Linear Algebra II (Advanced Linear Algebra)
"• 
Mathematics, B.S.",3,Fall,MATH 360 - Probability Theory
"• 
Mathematics, B.S.",3,Fall,MATH 450 - Real Analysis
"• 
Mathematics, B.S.",3,Spring,MATH 361 - Mathematical Statistics
"• 
Mathematics, B.S.",3,Spring,MATH 451 - Complex Analysis
"• 
Mathematics, B.S.",4,Fall,MATH 380 - Introduction to Abstract Algebra
"• 
Mathematics, B.S.",4,Spring,MATH 440 - Topology
"• 
Mathematics, B.S.",4,Spring,MATH 454 - Numerical Analysis
"• 
Mathematics, B.S.",4,Spring,MATH 460 - Modern Algebra
"• 
Physics, B.S.",1,Fall,FFC 100B - First Year Foundations: Grand Challenges in Science and Engineering
"• 
Physics, B.S.",1,Fall,PHYS 100 - What is Physics?
"• 
Physics, B.S.",1,Fall,MATH 110 - Single Variable Calculus I
"• 
Physics, B.S.",1,Fall,MATH 115 - Accelerated Calculus Part I: Differentiation and Integration
"• 
Physics, B.S.",1,Spring,GCI 150 - Grand Challenges in Science and Engineering I
"• 
Physics, B.S.",1,Spring,PHYS 101 - General Physics I
"• 
Physics, B.S.",1,Spring,PHYS 101L - General Physics I Laboratory
"• 
Physics, B.S.",1,Spring,MATH 111 - Single Variable Calculus II
"• 
Physics, B.S.",1,Spring,"MATH 116 - Accelerated Calculus Part II: Series, Differential Equations and Multivariable Calculus"
"• 
Physics, B.S.",2,Fall,GCI 200 - Grand Challenges in Science and Engineering II
"• 
Physics, B.S.",2,Fall,PHYS 102 - General Physics II
"• 
Physics, B.S.",2,Fall,PHYS 102L - General Physics II Laboratory
"• 
Physics, B.S.",2,Fall,MATH 210 - Multivariable Calculus
"• 
Physics, B.S.",2,Spring,GCI 250 - Grand Challenges in Science and Engineering III
"• 
Physics, B.S.",2,Spring,PHYS 201 - General Physics III
"• 
Physics, B.S.",2,Spring,PHYS 220 - Scientific Computing I
"• 
Physics, B.S.",2,Spring,MATH 215 - Introduction to Linear Algebra and Differential Equations
"• 
Physics, B.S.",3,Fall,PHYS 310 - Mathematical Methods for Physics and Engineering
"• 
Physics, B.S.",3,Fall,PHYS 323 - Scientific Computing II
"• 
Physics, B.S.",3,Fall,PHYS 320 - Mechanics I
"• 
Physics, B.S.",3,Fall,PHYS 421 - Electricity and Magnetism I
"• 
Physics, B.S.",3,Fall,PHYS 430 - Thermal and Statistical Physics I
"• 
Physics, B.S.",3,Fall,PHYS 451 - Quantum Mechanics I
"• 
Physics, B.S.",3,Spring,PHYS 321 - Mechanics II
"• 
Physics, B.S.",3,Spring,PHYS 422 - Electricity and Magnetism II
"• 
Physics, B.S.",3,Spring,PHYS 431 - Thermal and Statistical Physics II
"• 
Physics, B.S.",3,Spring,PHYS 452 - Quantum Mechanics II
"• 
Physics, B.S.",4,Fall,PHYS 320 - Mechanics I
"• 
Physics, B.S.",4,Fall,PHYS 421 - Electricity and Magnetism I
"• 
Physics, B.S.",4,Fall,PHYS 430 - Thermal and Statistical Physics I
"• 
Physics, B.S.",4,Fall,PHYS 451 - Quantum Mechanics I
"• 
Physics, B.S.",4,Spring,PHYS 498 - Physics Capstone
"• 
Physics, B.S.",4,Spring,PHYS 321 - Mechanics II
"• 
Physics, B.S.",4,Spring,PHYS 422 - Electricity and Magnetism II
"• 
Physics, B.S.",4,Spring,PHYS 431 - Thermal and Statistical Physics II
"• 
Physics, B.S.",4,Spring,PHYS 452 - Quantum Mechanics II
"• 
English, B.A.",1,Fall,ENG 215 - Theory and Practice of Journalism and Reporting
"• 
English, B.A.",1,Fall,ENG 256 - Introduction to Literary Theory and Criticism
"• 
English, B.A.",1,Fall,ENG 270 - Foundations of Rhetorical Studies
"• 
English, B.A.",1,Spring,ENG 210 - News Reporting and Writing Workshop
"• 
English, B.A.",1,Spring,ENG 221 - Literature I (antiquity to 1400 CE)
"• 
English, B.A.",1,Spring,ENG 222 - Literature II (1400-1800 CE)
"• 
English, B.A.",1,Spring,ENG 223 - Literature III (1800 CE-present)
"• 
English, B.A.",2,Fall,ENG 211 - Introduction to Digital Journalism Workshop
"• 
English, B.A.",2,Fall,ENG 214 - Digital Newsroom Workshop
"• 
English, B.A.",2,Fall,ENG 221 - Literature I (antiquity to 1400 CE)
"• 
English, B.A.",2,Fall,ENG 222 - Literature II (1400-1800 CE)
"• 
English, B.A.",2,Fall,ENG 223 - Literature III (1800 CE-present)
"• 
English, B.A.",2,Spring,ENG 210 - News Reporting and Writing Workshop
"• 
English, B.A.",2,Spring,ENG 308 - Public Affairs Reporting
"• 
English, B.A.",2,Spring,ENG 214
"• 
English, B.A.",2,Spring,ENG 221
"• 
English, B.A.",2,Spring,ENG 222
"• 
English, B.A.",2,Spring,ENG 223
"• 
English, B.A.",3,Fall,ENG 410 - Advanced Reporting and Editing Workshop for Journalists
"• 
English, B.A.",3,Fall,ENG 256 - Introduction to Literary Theory and Criticism
"• 
English, B.A.",3,Fall,ENG 270 - Foundations of Rhetorical Studies
"• 
English, B.A.",3,Spring,ENG 414 - Narrative Nonfiction
"• 
English, B.A.",4,Fall,ENG 496 - Research Methodologies for Senior Seminar in Journalism
"• 
English, B.A.",4,Spring,ENG 498B - Senior Seminar Journalism
"• 
French, B.A.",1,Fall,FREN 101 - Elementary French I
"• 
French, B.A.",1,Fall,FREN 102 - Elementary French II
"• 
French, B.A.",1,Fall,FREN 201 - Intermediate French I
"• 
French, B.A.",1,Spring,FREN 102
"• 
French, B.A.",1,Spring,FREN 201
"• 
French, B.A.",2,Fall,FREN 201 - Intermediate French I
"• 
French, B.A.",3,Spring,FREN 498 - Junior/Senior Seminar
"• 
French, B.A.",4,Spring,FREN 498 - Junior/Senior Seminar
"• 
Global Communication and World Languages, B.A.",1,Fall,COM 100 - Introduction to Communication Studies
"• 
Global Communication and World Languages, B.A.",1,Fall,COM 111 - We Are What We Speak: Communicating with Linguistic Diversity
"• 
Global Communication and World Languages, B.A.",1,Spring,COM 210 - Theories of Persuasion
"• 
Global Communication and World Languages, B.A.",1,Spring,COM 102 - Public Speaking in a Diverse Society
"• 
Global Communication and World Languages, B.A.",2,Fall,COM 211 - Intercultural Communication
"• 
Global Communication and World Languages, B.A.",2,Fall,COM 295 - Introduction to Research Methods
"• 
Global Communication and World Languages, B.A.",2,Fall,COM 314 - Communication Theory
"• 
Global Communication and World Languages, B.A.",3,Fall,COM 411 - Communication in the Global Workplace
"• 
History, B.A.",2,Fall,HIST 296 - History Seminar
"• 
History, B.A.",3,Fall,HIST 398 - The Historian’s Craft
"• 
History, B.A.",4,Fall,HIST 496 - Advanced Research Thesis I
"• 
Peace and Justice Studies, B.A.",1,Fall,PCST 150 - Introduction to Peace Studies
"• 
Peace and Justice Studies, B.A.",1,Spring,PCST 201 - Research Methods: Peace Studies
"• 
Peace and Justice Studies, B.A.",2,Fall,PCST 240 - Theories of Peace and Conflict
"• 
Peace and Justice Studies, B.A.",2,Spring,PCST 201 - Research Methods: Peace Studies
"• 
Peace and Justice Studies, B.A.",2,Spring,PCST 253 - Mediation and Conflict Resolution
"• 
Peace and Justice Studies, B.A.",2,Spring,PCST 354 - Non-Violent Social Change
"• 
Peace and Justice Studies, B.A.",3,Fall,PCST 354 - Non-Violent Social Change
"• 
Peace and Justice Studies, B.A.",3,Spring,PCST 354
"• 
Peace and Justice Studies, B.A.",4,Fall,PCST 354 - Non-Violent Social Change
"• 
Peace and Justice Studies, B.A.",4,Spring,PCST 498 - Capstone Project in Peace and Conflict Studies
"• 
Political Science, B.A.",2,Fall,POSC 200 - Introduction to Political Theory
"• 
Political Science, B.A.",2,Fall,POSC 201 - Political Research Design
"• 
Political Science, B.A.",2,Spring,POSC 201
"• 
Political Science, B.A.",4,Fall,POSC 410 - Seminar in American Politics
"• 
Political Science, B.A.",4,Fall,POSC 420 - Seminar in International Relations
"• 
Political Science, B.A.",4,Spring,POSC 410
"• 
Political Science, B.A.",4,Spring,POSC 410
"• 
Political Science, B.A.",4,Spring,POSC 420
"• 
Religious Studies, B.A.",1,Fall,REL 115 - Living Religions of the World
"• 
Religious Studies, B.A.",1,Spring,REL 130 - The Study of Religion
"• 
Religious Studies, B.A.",3,Fall,REL 398 - Junior-Senior Seminar
"• 
Religious Studies, B.A.",4,Fall,REL 398 - Junior-Senior Seminar
"• 
Religious Studies, B.A.",4,Spring,REL 498 - Senior Capstone Project
"• 
Sociology, B.A.",1,Fall,SOC 101 - Introduction to Sociology
"• 
Sociology, B.A.",1,Spring,SOC 201 - Introduction to Research Methods
"• 
Sociology, B.A.",3,Fall,SOC 305 - Social Theory
"• 
Sociology, B.A.",3,Spring,SOC 318 - Quantitative Data Analysis
"• 
Sociology, B.A.",4,Fall,SOC 397 - Capstone I: Field Research
"• 
Sociology, B.A.",4,Spring,SOC 497 - Capstone II: Senior Thesis Project
