Major,Course Name,Credits,Prerequisites,Category
Creative Writing BFA,ENG 304 - Creative Writing: Special Topics,3,ENG 204 ,core creative writing
Creative Writing BFA,ENG 304A - Creative Writing Special Topics: Experimental Writing,3,ENG 204 ,core creative writing
Creative Writing BFA,ENG 304B - Creative Writing Special Topics: Science or Speculative Fiction Writing,3,ENG 204 ,core creative writing
Creative Writing BFA,ENG 204 - Introduction to Creative Writing,3,N/A,core creative writing
Creative Writing BFA,"ENG 304C - Creative Writing Special Topics: Writing Health, Disability, Science",3,ENG 204 ,core creative writing
Creative Writing BFA,ENG 304D - Creative Writing Special Topics: Young Adult Writing,3,ENG 204 ,core creative writing
Creative Writing BFA,ENG 404 - Techniques in Writing Fiction,3,ENG 204 ,core creative writing
Creative Writing BFA,ENG 403 - Techniques in Poetry Writing,3,ENG 204 ,core creative writing
Creative Writing BFA,ENG 422 - Techniques in Creative Nonfiction,3,ENG 204 ,core creative writing
Creative Writing BFA,ENG 405 - Advanced Workshop in Poetry Writing,3,ENG 204 ,core creative writing
Creative Writing BFA,ENG 406 - Advanced Workshop in Writing Fiction,3,ENG 204 ,core creative writing
Creative Writing BFA,ENG 419 - Advanced Workshop in Creative Nonfiction,3,ENG 204 ,core creative writing
Creative Writing BFA,ENG 304A - Creative Writing Special Topics: Experimental Writing,3,ENG 204 ,elective creative writing courses
Creative Writing BFA,ENG 228 - Introduction to Screenwriting,3,"creative writing major, English minor",elective creative writing courses
Creative Writing BFA,ENG 227 - Writing the One-Act Play,3,N/A,elective creative writing courses
Creative Writing BFA,ENG 304B - Creative Writing Special Topics: Science or Speculative Fiction Writing,3,ENG 204 ,elective creative writing courses
Creative Writing BFA,ENG 304 - Creative Writing: Special Topics,3,ENG 204 ,elective creative writing courses
Creative Writing BFA,"ENG 304C - Creative Writing Special Topics: Writing Health, Disability, Science",3,ENG 204 ,elective creative writing courses
Creative Writing BFA,ENG 304D - Creative Writing Special Topics: Young Adult Writing,3,ENG 204 ,elective creative writing courses
Creative Writing BFA,ENG 310 - Writing Creative Nonfiction,3,"ENG 204, ENG 208 ",elective creative writing courses
Creative Writing BFA,ENG 312 - Writing the Short Story,3,ENG 204 ,elective creative writing courses
Creative Writing BFA,ENG 313 - Writing Southern California,3,"ENG 204, ENG 310 ",elective creative writing courses
Creative Writing BFA,ENG 314 - Writing the Novel,3,ENG 204 ,elective creative writing courses
Creative Writing BFA,ENG 316 - Writing Poetry,3,ENG 204 ,elective creative writing courses
Creative Writing BFA,ENG 318 - Intermediate Screenwriting,3,ENG 204 ,elective creative writing courses
Creative Writing BFA,ENG 328 - Writing for Video Games,3,"ENG 204  and English major, Creative Writing major, English minor, Creative and Cultural Industries minor, Animation and Visual Effects major, Film and Media Studies major, Screenwriting major, Writing for Film and Television major, VR and AR minor, Game Development Programming minor, Game Development Themed inquiry",elective creative writing courses
Creative Writing BFA,ENG 351 - Writing the Graphic Novel,3,ENG 204 ,elective creative writing courses
Creative Writing BFA,ENG 405 - Advanced Workshop in Poetry Writing,3,ENG 204 ,elective creative writing courses
Creative Writing BFA,ENG 406 - Advanced Workshop in Writing Fiction,3,ENG 204 ,elective creative writing courses
Creative Writing BFA,ENG 414 - Narrative Nonfiction,3,N/A,elective creative writing courses
Creative Writing BFA,ENG 419 - Advanced Workshop in Creative Nonfiction,3,ENG 204 ,elective creative writing courses
Creative Writing BFA,ENG 256 - Introduction to Literary Theory and Criticism,3,N/A,core literature and theory
Creative Writing BFA,ENG 221 - Literature I (antiquity to 1400 CE),3,N/A,core literature and theory
Creative Writing BFA,ENG 222 - Literature II (1400-1800 CE),3,N/A,core literature and theory
Creative Writing BFA,ENG 270 - Foundations of Rhetorical Studies,3,N/A,core literature and theory
Creative Writing BFA,ENG 223 - Literature III (1800 CE-present),3,N/A,core literature and theory
Creative Writing BFA,ENG 250 - Introduction to Fiction,3,N/A,core literature and theory
Creative Writing BFA,ENG 252 - Introduction to Poetry,3,N/A,core literature and theory
Creative Writing BFA,ENG 407 - Literary Forum: Tabula Poetica Poetry Reading Series,3,ENG 204 ,core literature and theory
Creative Writing BFA,ENG 409 - Literary Forum: John Fowles Center Contemporary Writers Core,3,ENG 204 ,core literature and theory
Creative Writing BFA,ENG 271 - Introduction to Linguistics,3,N/A,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 302 - Writing About Diverse Cultures,3,N/A,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 302B - Disability and Creative Writing,3,none,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 224 - Introduction to Latinx Literature,3,N/A,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 302A - Representing Self/Others,3,N/A,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 321B - African American Literature Post-1950,3,N/A,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 321A - African American Literature 1880s-1940s,3,N/A,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 339 - World Literature from 1900 to the Present,3,N/A,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 327 - Multicultural Literatures of the U.S.,3,ENG 256 ,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 345A - Gender in Victorian England,3,ENG 256 ,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 347 - Topics in Literary and Cultural Studies,3,N/A,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 380 - Latinx and Indigenous Rhetorics,3,N/A,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 444 - Topics in Rhetoric,3,N/A,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 444A - Feminist Rhetorics,3,N/A,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 424 - Topics in Latinx Literature,3,N/A,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 444C - Queer Rhetorics,3,N/A,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 444B - Copyright/Copyleft: Sampling/Plagiarism/Appropriation/Reinvention?,3,N/A,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 444D - Posthuman Rhetorics,3,N/A,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 444E - Technical Communication and Social Justice,3,N/A,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 444F - Pedagogies of Freedom: Paulo Freire and bell hooks,3,N/A,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 444G - Seminar on Foucault,3,N/A,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 449 - Literature in Translation,3,written inquiry,elective literature/rhetoric upper-division courses
Creative Writing BFA,"ENG 472 - Film, Gender, Sexuality",3,N/A,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 320 - Topics in American Literature before 1870,3,ENG 256 ,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 320A - Reinventing American Literature,3,ENG 256 ,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 321 - Topics in American Literature after 1870,3,N/A,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 325 - Introduction to Shakespeare,3,N/A,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 326 - Topics in American Literature,3,ENG 256 ,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 329 - Experimental Course,3,N/A,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 337 - Topics in British Literature,3,ENG 256 ,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 340 - The Bible as Literature: The Hebrew Scriptures,3,N/A,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 341 - The Bible as Literature: The Christian Scriptures,3,N/A,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 344 - Topics in British Literature before 1850,3,ENG 256 ,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 344A - The English Gothic Novel,3,ENG 256 ,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 344B - The English Epic,3,ENG 256 ,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 344C - Revenge Narratives,3,ENG 256 ,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 345 - Topics in British Literature after 1850,3,"ENG 256, HIST 313 ",elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 346 - Special Studies in Literature,3,N/A,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 447 - Advanced Topics in Literary and Cultural Studies,3,ENG 256 ,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 347A - Cognition and the Novel,3,N/A,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 355 - Theater in England,3,N/A,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 357 - Topics in Humanomics,3,N/A,elective literature/rhetoric upper-division courses
Creative Writing BFA,"ENG 360 - War, Memory, and Literature",3,N/A,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 371 - Discourse Analysis,3,N/A,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 372 - Language and Ideology,3,N/A,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 407 - Literary Forum: Tabula Poetica Poetry Reading Series,3,ENG 204 ,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 409 - Literary Forum: John Fowles Center Contemporary Writers Core,3,ENG 204 ,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 430 - Shakespeare’s Comedies and Histories,3,"ENG 256, HIST 308, TH 322 ",elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 441 - Topics in Drama,3,ENG 256 ,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 443 - Topics in Fiction,3,ENG 256 ,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 432 - Shakespeare’s Tragedies and Romances,3,"ENG 256, HIST 308, TH 322 ",elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 443A - Topics in Fiction: American Fiction of the 1920s,3,ENG 256 ,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 445 - Major Author(s),3,ENG 256 ,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 445A - Flipping Jane Austen,3,ENG 256,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 447-IRE - The “Real” Westeros: Game of Thrones and Northern Ireland,3,N/A,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 445B - Henry James and Edith Wharton,3,ENG 256 ,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 447A - Banned Books,3,ENG 256 ,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 447B - Literature and Terror,3,ENG 256 ,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 447C - The Harlem Renaissance,3,ENG 256 ,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 471 - The Rhetoric of Fiction,3,N/A,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 456 - Topics in Literary Theory and Criticism,3,ENG 256 ,elective literature/rhetoric upper-division courses
Creative Writing BFA,ENG 211 - Introduction to Digital Journalism Workshop,3,"or corequisite, ENG 215, consent of instructor",elective practice
Creative Writing BFA,ENG 210 - News Reporting and Writing Workshop,3,"ENG 215, consent of instructor",elective practice
Creative Writing BFA,ENG 218 - Introduction to Digital Design for Journalists,3,"ENG 215, corequisite, ENG 215, consent of instructor",elective practice
Creative Writing BFA,ENG 253 - Photojournalism,3,N/A,elective practice
Creative Writing BFA,ENG 215 - Theory and Practice of Journalism and Reporting,3,N/A,elective practice
Creative Writing BFA,ENG 271 - Introduction to Linguistics,3,N/A,elective practice
Creative Writing BFA,ENG 305 - Business Writing,3,N/A,elective practice
Creative Writing BFA,ENG 308 - Public Affairs Reporting,3,"ENG 210, ENG 215 ",elective practice
Creative Writing BFA,ENG 311 - Podcasting: The Art of Storytelling,3,N/A,elective practice
Creative Writing BFA,ENG 319 - Digital Magazine Workshop for Journalists,3,N/A,elective practice
Creative Writing BFA,ENG 370 - Technical Writing,3,N/A,elective practice
Creative Writing BFA,ENG 323 - Journalists as Historians,3,"ENG 215, HIST 296, and English, history major, minor",elective practice
Creative Writing BFA,ENG 371 - Discourse Analysis,3,N/A,elective practice
Creative Writing BFA,ENG 373 - Rhetorical Criticism,3,N/A,elective practice
Creative Writing BFA,ENG 374 - Environmental Rhetoric,3,N/A,elective practice
Creative Writing BFA,ENG 375 - Composing New Media,3,N/A,elective practice
Creative Writing BFA,ENG 411 - Advanced Digital Journalism Workshop,3,"ENG 211, consent of instructor",elective practice
Creative Writing BFA,ENG 410 - Advanced Reporting and Editing Workshop for Journalists,3,"ENG 210, ENG 308, consent of instructor",elective practice
Creative Writing BFA,ENG 415 - Topics in Journalism,3,ENG 215,elective practice
Creative Writing BFA,ENG 418 - Advanced Digital Design for Journalists,3,"ENG 218, consent of instructor",elective practice
Creative Writing BFA,ENG 421 - Humanities Computing,3,N/A,elective practice
Creative Writing BFA,"ENG 481 - Theory and Practice of Writing, Tutoring, and Conferencing",3,written inquiry,elective practice
Creative Writing BFA,ENG 491 - Student-Faculty Research/Creative Activity,1-3,consent of instructor,elective practice
Creative Writing BFA,ENG 490 - Independent Internship,½-3,"written inquiry, consent of instructor",elective practice
Dance BA,DANC 141 - Introduction to Dance Studies,3,"dance major, dance minor",core requirements
Dance BA,DANC 340 - Principles of Dance Production,3,"DANC 141, DANC 281, consent of instructor, and dance, dance performance majors, dance minors",core requirements
Dance BA,DANC 261 - Somatics: An Exploration of the Mind and Body Experience,3,"dance, dance performance major, minor, consent of instructor",core requirements
Dance BA,DANC 280 - Dance Improvisation,2,DANC 172 ,core requirements
Dance BA,DANC 281 - Choreography I,3,"DANC 141, DANC 280 ",core requirements
Dance BA,DANC 360 - Movement Anatomy and Exercise Physiology,3,N/A,core requirements
Dance BA,DANC 440 - Dance Teaching Methods,3,"dance, dance performance major, and senior standing, consent of chair",core requirements
Dance BA,DANC 347 - Music for Dancers,3,"dance, dance performance major, minor, consent of chair",core requirements
Dance BA,DANC 361 - Dance Kinesiology and Injury Prevention,3,DANC 360 ,core requirements
Dance BA,DANC 453 - Dance History: Forces and Figures,3,"dance, dance performance major, dance minor and senior standing, consent of chair",core requirements
Dance BA,DANC 498 - Senior Seminar,3,"DANC 141, DANC 281, DANC 340, DANC 347, DANC 360, senior standing",core requirements
Dance BA,TH 110 - Introduction to Acting,3,N/A,electives
Dance BA,DANC 250 - Dance Repertory,3,"DANC 172, DANC 174, DANC 176, consent of instructor",electives
Dance BA,TH 204 - Costume Construction,3,N/A,electives
Dance BA,DANC 311 - Dance Performance and Study Tour,2,DANC 310 ,electives
Dance BA,TH 207 - Lighting for the Stage,3,"TH 100, consent of instructor",electives
Dance BA,DANC 342 - Dance in Film,3,"DANC 281, consent of chair",electives
Dance BA,DANC 344 - Dance Education and Outreach,3,"dance, dance performance major, minor",electives
Dance BA,MUS 345 - Musical Theatre History and Cultural Practice,3,N/A,electives
Dance BA,TH 345 - Musical Theatre,3,consent of instructor,electives
Dance BA,DANC 367 - Pilates Theory and Methods,3,N/A,electives
Dance BA,DANC 381 - Choreography II,3,"DANC 281, junior standing",electives
Dance BA,DANC 382 - Choreography Workshop,1-3,"DANC 281, DANC 381, consent of chair, and dance, dance performance major",electives
Dance BA,DANC 499 - Individual Study,1-3,consent of instructor,electives
Dance Performance BFA,DANC 261 - Somatics: An Exploration of the Mind and Body Experience,3,"dance, dance performance major, minor, consent of instructor",core requirements
Dance Performance BFA,DANC 280 - Dance Improvisation,2,DANC 172 ,core requirements
Dance Performance BFA,DANC 281 - Choreography I,3,"DANC 141, DANC 280 ",core requirements
Dance Performance BFA,DANC 141 - Introduction to Dance Studies,3,"dance major, dance minor",core requirements
Dance Performance BFA,DANC 340 - Principles of Dance Production,3,"DANC 141, DANC 281, consent of instructor, and dance, dance performance majors, dance minors",core requirements
Dance Performance BFA,DANC 353 - Dance in World Cultures,3,N/A,core requirements
Dance Performance BFA,DANC 347 - Music for Dancers,3,"dance, dance performance major, minor, consent of chair",core requirements
Dance Performance BFA,DANC 360 - Movement Anatomy and Exercise Physiology,3,N/A,core requirements
Dance Performance BFA,DANC 361 - Dance Kinesiology and Injury Prevention,3,DANC 360 ,core requirements
Dance Performance BFA,DANC 381 - Choreography II,3,"DANC 281, junior standing",core requirements
Dance Performance BFA,DANC 382 - Choreography Workshop,1-3,"DANC 281, DANC 381, consent of chair, and dance, dance performance major",core requirements
Dance Performance BFA,DANC 440 - Dance Teaching Methods,3,"dance, dance performance major, and senior standing, consent of chair",core requirements
Dance Performance BFA,DANC 453 - Dance History: Forces and Figures,3,"dance, dance performance major, dance minor and senior standing, consent of chair",core requirements
Dance Performance BFA,DANC 498 - Senior Seminar,3,"DANC 141, DANC 281, DANC 340, DANC 347, DANC 360, senior standing",core requirements
Dance Performance BFA,TH 110 - Introduction to Acting,3,N/A,electives
Dance Performance BFA,DANC 311 - Dance Performance and Study Tour,2,DANC 310 ,electives
Dance Performance BFA,TH 207 - Lighting for the Stage,3,"TH 100, consent of instructor",electives
Dance Performance BFA,TH 204 - Costume Construction,3,N/A,electives
Dance Performance BFA,DANC 250 - Dance Repertory,3,"DANC 172, DANC 174, DANC 176, consent of instructor",electives
Dance Performance BFA,DANC 342 - Dance in Film,3,"DANC 281, consent of chair",electives
Dance Performance BFA,DANC 344 - Dance Education and Outreach,3,"dance, dance performance major, minor",electives
Dance Performance BFA,MUS 345 - Musical Theatre History and Cultural Practice,3,N/A,electives
Dance Performance BFA,TH 345 - Musical Theatre,3,consent of instructor,electives
Dance Performance BFA,DANC 367 - Pilates Theory and Methods,3,N/A,electives
Dance Performance BFA,DANC 499 - Individual Study,1-3,consent of instructor,electives
Data Science BS,MATH 110 - Single Variable Calculus I,3,"MATH 101, equivalent",lower-division requirements
Data Science BS,ENGR 101 - Foundations of Design and Fabrication,3,N/A,lower-division requirements
Data Science BS,MATH 203 - Introduction to Statistics,3,N/A,lower-division requirements
Data Science BS,ECON 200 - Principles of Microeconomics,3,"MATH 100, equivalent",lower-division requirements
Data Science BS,MGSC 220 - Foundations of Business Analytics,3,"MGSC 209, MATH 203, PSY 203, with a minimum grade of C-",lower-division requirements
Data Science BS,CPSC 230 - Computer Science I,3,MATH 100 ,lower-division requirements
Data Science BS,CPSC 231 - Computer Science II,3,"CPSC 230, equivalent",lower-division requirements
Data Science BS,CPSC 293 - Mathematical Foundations of Machine Learning,3,"CPSC 230, MATH 203  and MATH 110, MATH 115 ",lower-division requirements
Data Science BS,CPSC 285 - Social and Ethical Issues in Computing,3,N/A,lower-division requirements
Data Science BS,CPSC 350 - Data Structures and Algorithms,3,"CPSC 231, CENG 231 ",upper-division requirements
Data Science BS,MGSC 310 - Statistical Models in Business Analytics,3,MGSC 220  with a minimum grade of C-,upper-division requirements
Data Science BS,CPSC 349 - Human Factors,3,"CPSC 230, GAME 230 ",upper-division requirements
Data Science BS,CPSC 355 - Human Computer Interaction,3,"CENG 231, CPSC 231, CPSC 236  and CPSC 349 ",upper-division requirements
Data Science BS,CPSC 353 - Data Communications and Computer Networks,3,"CENG 231, CPSC 231, CPSC 236 ",upper-division requirements
Data Science BS,CPSC 390 - Artificial Intelligence,3,N/A,upper-division requirements
Data Science BS,CPSC 393 - Machine Learning,3,CPSC 392 ,upper-division requirements
Data Science BS,CPSC 408 - Database Management,3,N/A,upper-division requirements
Data Science BS,MGSC 410 - Applied Business Analytics,3,"MGSC 310, CPSC 392, with a minimum grade of C- in each prerequisite",upper-division requirements
Data Science BS,CPSC 392 - Introduction to Data Science,3,"CPSC 230, and MATH 203, MATH 303, MGSC 209 ",upper-division requirements
Data Science BS,CPSC 358 - Assistive Technology,3,N/A,electives
Data Science BS,"ENV 310 - Geographic Information Systems, Lecture and Laboratory",4,N/A,electives
Data Science BS,CPSC 359 - Computer-Supported Cooperative Work,3,CPSC 355 ,electives
Data Science BS,MATH 360 - Probability Theory,3,"MATH 116, MATH 210 ",electives
Data Science BS,MATH 303 - Biostatistics,3,"MATH 101, equivalent, MATH 109  with a grade C, above",electives
Data Science BS,MATH 361 - Mathematical Statistics,3,MATH 360 ,electives
Data Science BS,ISP 363 - Cybersecurity 1,3,CPSC 353 ,electives
Data Science BS,CPSC 430 - Computational Economics,4,"MATH 110  and CPSC 230, CPSC 236, consent of instructor",electives
Data Science BS,CPSC 435 - BioMedical Informatics,3,CPSC 230 ,electives
Data Science BS,MGSC 406 - Advanced Experimental Design and Statistics,3,"MATH 203, MGSC 209, equivalent, and advanced standing",electives
Data Science BS,CPSC 445 - High Performance Computing,3,"CPSC 350, consent of instructor",electives
Data Science BS,ECON 452 - Econometrics,3,"ECON 200, ECON 201, and MATH 109, MATH 110, and MGSC 209, MATH 203, with a minimum grade of C- in each prerequisite and ACBE major, computational science, economics, mathematics minor, enrollment in the Applied Statistical Analysis Certificate program",electives
Data Science BS,CPSC 458 - Web Engineering,3,CPSC 350,electives
Data Science BS,MGSC 496 - Special Topics in Management Science,3,N/A,electives
Economics BA,MGSC 209 - Introductory Business Statistics,3,"MATH 109, MATH 110, with a minimum grade of C-",core requirements
Economics BA,ECON 201 - Principles of Macroeconomics,3,"MATH 100, equivalent",core requirements
Economics BA,MATH 110 - Single Variable Calculus I,3,"MATH 101, equivalent",core requirements
Economics BA,ECON 204 - Seminar in Ethics and Economic Thought,3,economics major,core requirements
Economics BA,ECON 200 - Principles of Microeconomics,3,"MATH 100, equivalent",core requirements
Economics BA,MGSC 220 - Foundations of Business Analytics,3,"MGSC 209, MATH 203, PSY 203, with a minimum grade of C-",core requirements
Economics BA,ECON 350 - Intermediate Microeconomics Theory,3,"ECON 200, ECON 201, and MATH 109, MATH 110, with a minimum grade of C- in each prerequisite",core requirements
Economics BA,ECON 351 - Intermediate Macroeconomic Theory,3,"ECON 200, ECON 201, and MATH 109, MATH 110, with a minimum grade of C- in each prerequisite",core requirements
Economics BA,ECON 452 - Econometrics,3,"ECON 200, ECON 201, and MATH 109, MATH 110, and MGSC 209, MATH 203, with a minimum grade of C- in each prerequisite and ACBE major, computational science, economics, mathematics minor, enrollment in the Applied Statistical Analysis Certificate program",core requirements
Economics BA,ECON 357 - Topics in Humanomics,3,consent of instructor,core requirements
Economics BA,ECON 374 - European Economic History,3,"ECON 200, ECON 201, with a minimum grade of C- in each prerequisite",core requirements
Economics BA,ACTG 210 - Introduction to Financial Accounting,3,"MATH 109, MATH 110, equivalent, with a minimum grade of C-",electives
Economics BA,FIN 307 - The Financial System,3,"ECON 200, ECON 201, and MGSC 209, MATH 203, with a minimum grade of C- in each prerequisite",electives
Economics BA,CPSC 236 - Object-Oriented Programming in C#,3,"GAME 230, CPSC 231 ",electives
Economics BA,MATH 210 - Multivariable Calculus,3,MATH 111 ,electives
Economics BA,ECON 315 - Economics of Religion,3,"MGSC 209, MATH 203, and ECON 350, with a minimum grade of C- in each prerequisite",electives
Economics BA,ECON 329 - Experimental Course,3,N/A,electives
Economics BA,ECON 357 - Topics in Humanomics,3,consent of instructor,electives
Economics BA,ECON 373 - Economic History,3,ECON 200  with a minimum grade of C-,electives
Economics BA,MATH 361 - Mathematical Statistics,3,MATH 360 ,electives
Economics BA,ECON 374 - European Economic History,3,"ECON 200, ECON 201, with a minimum grade of C- in each prerequisite",electives
Economics BA,FIN 410 - International Financial Management,3,FIN 317  with a minimum grade of C-,electives
Economics BA,ECON 411 - International Economics,3,"ECON 200, ECON 201, with a minimum grade of C- in each prerequisite",electives
Economics BA,"ECON 431 - Health: Economic, Psychological, and Anthropological Perspectives",3,"MATH 203, MGSC 209, PSY 203, with a minimum grade of C-",electives
Economics BA,ECON 421 - Behavioral Economics and Finance: Foundations,3,"MATH 110, ECON 200, MATH 203, with a minimum grade of C- in each prerequisite",electives
Economics BA,ECON 425 - Economics of Non-Market Behavior,3,ECON 350  with a minimum grade of C-,electives
Economics BA,ECON 441 - Economic Development,3,"ECON 200, ECON 201, with a minimum grade of C- in each prerequisite",electives
Economics BA,ECON 448 - Managerial Economics,3,"ACTG 210, ECON 200, ECON 201, and MGSC 209, MATH 203, with a minimum grade of C- in each prerequisite",electives
Economics BA,ECON 455 - The Path to the Modern Economy,3,"ECON 200, ECON 201, with a minimum grade of C- in each prerequisite",electives
Economics BA,ECON 461 - Introduction to Mathematical Economics,3,"ECON 350, and MATH 109, MATH 110, equivalent",electives
Economics BA,ECON 465 - Environmental and Natural Resources Economics,3,"ECON 200, ECON 201, with a minimum grade of C- in each prerequisite",electives
Economics BA,ECON 471 - Experimental Economics I,3,"MATH 110, ECON 350, and MATH 203, MGSC 209, with a minimum grade of C- in each prerequisite, consent of instructor",electives
Economics BA,ECON 481 - Auction and Market Design,3,"MATH 116, MATH 210, MGSC 209, with a minimum grade of C-, consent of instructor",electives
Electrical Engineering BS,ENGR 101 - Foundations of Design and Fabrication,3,N/A,lower-division core requirements
Electrical Engineering BS,PHYS 102 - General Physics II,3,"PHYS 101, and MATH 111, MATH 115 ",lower-division core requirements
Electrical Engineering BS,PHYS 101 - General Physics I,3,"MATH 110, MATH 115 ",lower-division core requirements
Electrical Engineering BS,EENG 201 - Digital Signals and Filters,3,"MATH 111, MATH 116 ",lower-division core requirements
Electrical Engineering BS,EENG 200 - Electronics and Circuits I,3,N/A,lower-division core requirements
Electrical Engineering BS,PHYS 201 - General Physics III,3,PHYS 102 ,lower-division core requirements
Electrical Engineering BS,MATH 215 - Introduction to Linear Algebra and Differential Equations,3,"MATH 111, MATH 116 ",lower-division core requirements
Electrical Engineering BS,CPSC 230 - Computer Science I,3,MATH 100 ,lower-division core requirements
Electrical Engineering BS,CENG 231 - Systems Programming,3,CPSC 230 ,lower-division core requirements
Electrical Engineering BS,MATH 110 - Single Variable Calculus I,3,"MATH 101, equivalent",lower-division core requirements
Electrical Engineering BS,MATH 210 - Multivariable Calculus,3,MATH 111 ,lower-division core requirements
Electrical Engineering BS,MATH 111 - Single Variable Calculus II,3,"MATH 110, MATH 115 ",lower-division core requirements
Electrical Engineering BS,MATH 115 - Accelerated Calculus Part I: Differentiation and Integration,4,"MATH 101, equivalent",lower-division core requirements
Electrical Engineering BS,"MATH 116 - Accelerated Calculus Part II: Series, Differential Equations and Multivariable Calculus",4,MATH 115 ,lower-division core requirements
Electrical Engineering BS,EENG 320 - Microelectronics I,3,"EENG 200  and PHYS 102, PHYS 108 ",upper-division requirements
Electrical Engineering BS,EENG 310 - Mathematical Methods for Physics and Engineering,3,MATH 215 ,upper-division requirements
Electrical Engineering BS,CENG 330 - Digital Logic Design I,3,"CPSC 231, CENG 231",upper-division requirements
Electrical Engineering BS,EENG 330 - Electromagnetics I,3,"MATH 116, MATH 210  and PHYS 102 ",upper-division requirements
Electrical Engineering BS,EENG 300 - Electronics and Circuits II,3,EENG 200 ,upper-division requirements
Electrical Engineering BS,CENG 366 - Digital Logic Design II,3,CENG 330,upper-division requirements
Electrical Engineering BS,EENG 410 - Control Systems,3,EENG 310 ,upper-division requirements
Electrical Engineering BS,CENG 350 - Embedded Systems,3,CENG 231 ,electives
Electrical Engineering BS,CPSC 353 - Data Communications and Computer Networks,3,"CENG 231, CPSC 231, CPSC 236 ",electives
Electrical Engineering BS,CENG 353 - Wireless Communication,3,CPSC 353 ,electives
Electrical Engineering BS,CENG 351 - Computer Architecture I,3,CENG 330,electives
Electrical Engineering BS,EENG 370 - Topics in Electrical Engineering,3,N/A,electives
Electrical Engineering BS,EENG 420 - Microelectronics II,3,"EENG 300, EENG 320 ",electives
Electrical Engineering BS,EENG 430 - Electromagnetics II,3,"EENG 310, EENG 330 ",electives
Electrical Engineering BS,CENG 381 - Modeling and Simulation,3,CENG 231 ,electives
Electrical Engineering BS,CENG 390 - Robotics,3,"CENG 231, CPSC 231  and EENG 200 ",electives
Electrical Engineering BS,CENG 382 - Digital Signal Processing,3,"CENG 381  and MATH 116, MATH 210 ",electives
